0,-200
1,-200
2,-400
3,-400
4,-400
5,-200
6,-400
7,-400
8,-400
9,-400
10,-400
11,-400
12,-400
13,-400
14,-400
15,-400
16,-400
17,-400
18,-400
19,-400
20,-400
21,-400
22,-400
23,-400
24,-400
25,-400
0,-400
1,-200
2,-400
3,-400
4,-200
5,-400
6,-400
7,-400
8,-400
9,-400
10,-400
11,-200
12,-400
13,-400
14,-400
15,-400
16,-400
17,-400
18,-400
19,-400
20,-400
21,-400
22,-200
23,-400
24,-400
25,-400
26,-400
27,-400
28,-400
29,-400
30,-400
31,-400
32,-400
33,-400
34,-400
35,-400
36,-400
37,-400
38,-400
39,-400
40,-400
41,-400
42,-400
43,-400
44,-400
45,-400
46,-400
47,-400
0,-200
1,-1200
2,-1200
3,-1200
4,-1200
5,-1200
6,-1200
7,-1200
8,-1200
9,-1200
10,-1200
11,-1200
0,-800
1,-1200
2,-1200
3,-800
4,-1200
5,-1200
6,-1200
7,-1200
8,-1200
9,-800
10,-1200
11,-1200
12,-1200
13,-1200
14,-1200
15,-1200
16,-1200
17,-1200
18,-1200
19,-1200
20,-1200
21,-1200
22,-1200
23,-1200
24,-1200
25,-1200
26,-1200
27,-1200
28,-1200
29,-1200
30,-1200
31,-1200
32,-1200
33,-1200
0,-600
1,-800
2,-1000
3,-600
4,-600
5,-600
6,-1000
7,-400
8,-800
9,-800
10,-600
11,-1000
12,-800
13,-1000
14,-800
15,-600
16,-1000
17,-1000
18,-400
19,0
20,-600
21,-800
22,-600
23,-600
24,-800
25,-600
26,-1000
27,-600
28,-800
29,-600
30,-600
31,-1000
32,-1200
33,-600
34,-800
35,-1000
36,-800
37,-1000
38,-1000
39,-1000
40,-800
41,-800
42,-800
43,-800
44,-1000
45,-400
46,-1000
47,-1000
48,-1000
49,-600
50,-800
51,-800
52,-600
53,-400
54,-800
55,-1000
56,-400
57,-400
58,-800
59,-1000
60,-800
61,-800
62,-600
63,-800
64,-800
65,-800
66,-1000
67,-1000
68,-1000
69,-800
70,-600
71,-1000
72,-1000
73,-1000
74,-400
75,-1000
76,-1000
77,-600
78,-800
79,-800
80,-600
81,-600
82,-800
83,-1000
84,-800
85,-1000
86,-800
87,-800
88,-800
89,-1000
90,-800
91,-1000
92,-800
93,-800
94,-800
95,-600
96,-800
97,-800
98,-600
99,-1000
100,-600
101,-800
102,-600
103,-800
104,-800
105,-400
106,-800
107,-1000
108,-1000
109,-800
110,-1000
111,-1000
112,-800
113,-600
114,-800
115,-800
116,-800
117,-1000
118,-600
119,-600
120,-600
121,-1000
122,-800
123,-600
124,-1000
125,-600
126,-600
127,-800
128,-400
129,-800
130,-600
131,-1000
132,-800
133,-1000
134,-1000
135,-600
136,-400
137,-600
138,-1000
139,-600
140,-1000
141,-800
142,-400
143,-600
144,-800
145,-1000
146,-800
147,-1000
148,-1000
149,-800
150,-400
151,-400
152,-600
153,-1000
0,-800
1,-600
2,-1000
3,-1000
4,-600
5,-800
6,-1000
7,-200
8,-800
9,-800
10,-800
11,-600
12,-400
13,-1000
14,-800
15,-400
16,-1000
17,-200
18,-800
19,-600
20,-1000
21,-800
22,-200
23,-200
24,-600
25,-800
26,-800
27,-800
28,-1000
29,-1000
30,-600
31,-1000
32,-600
33,-1000
34,-800
35,-600
36,-1000
37,-800
38,-800
39,-600
40,-800
41,-1000
42,-1000
43,-800
44,-1000
45,-600
46,-1000
47,-800
48,-1000
49,-600
50,-800
51,-1000
52,-400
53,-600
54,-1000
55,-1000
56,-800
57,-800
58,-800
59,-1000
60,-800
61,-800
62,-1000
63,-600
64,-800
65,-800
66,-800
67,-600
68,-800
69,-800
70,-800
71,-970
72,-800
73,-600
74,-800
75,-600
76,-1000
77,-400
78,-400
79,-800
80,-600
81,-800
82,-600
83,-600
84,-600
85,-600
